Path object_type object_name object_size parant_directory
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing" Directory __pycache__ 301037 pyparsing
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\diagram" Directory __pycache__ 16584 diagram
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\diagram\__pycache__" File __init__.cpython-310.pyc 16584 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\__pycache__" File __init__.cpython-310.pyc 7144 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\_vendor\__pycache__" File __init__.cpython-310.pyc 210 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pkg_resources\__pycache__" File __init__.cpython-310.pyc 100578 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\setuptools" Directory __pycache__ 234243 setuptools
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\setuptools\command" Directory __pycache__ 233300 command
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\setuptools\command\__pycache__" File __init__.cpython-310.pyc 465 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\setuptools\config" Directory __pycache__ 71037 config
